QUERY_TERM	PMID	JOURNAL_TITLE	YEAR	PMCID	DOI	PMC_CITATION_COUNT	INDRA_STATEMENT_COUNT	MESH_TERMS
DMRT1	32628996	Comp. Biochem. Physiol. B, Biochem. Mol. Biol.	2020		10.1016/j.cbpb.2020.110467	0	0	Humans|Animals|Male|Female|Sex Differentiation|Estradiol|Gonads|Estrogens|Ovary|Feminization|Testis|SOX9 protein, human|SOX9 Transcription Factor|Fishes|Gonadal Steroid Hormones|Disorders of Sex Development
DMRT1	32590948	BMC Genomics	2020	PMC7318502	10.1186/s12864-020-06852-z	0	0	Animals|Male|Female|Ducks|Gonads|Gene Expression Profiling|Ovary|Sex Differentiation|Testis|Cell Differentiation|Aquatic Organisms|Gene Expression Regulation|Animals|Male|Female|Ducks|Gonads|Gene Expression Profiling|Ovary|Sex Differentiation|Testis|Cell Differentiation|Aquatic Organisms|Gene Expression Regulation
OSR1	32590948	BMC Genomics	2020	PMC7318502	10.1186/s12864-020-06852-z	0	0	Animals|Male|Female|Ducks|Gonads|Gene Expression Profiling|Ovary|Sex Differentiation|Testis|Cell Differentiation|Aquatic Organisms|Gene Expression Regulation|Animals|Male|Female|Ducks|Gonads|Gene Expression Profiling|Ovary|Sex Differentiation|Testis|Cell Differentiation|Aquatic Organisms|Gene Expression Regulation
DMRT1	32497821	Environ. Pollut.	2020		10.1016/j.envpol.2020.114857	0	0	Animals|Male|Larva|Zebrafish|Ultraviolet Rays|dioxybenzone|Benzophenones|oxybenzone|Gene Expression Profiling|Transcriptome|AHR protein, human|Receptors, Aryl Hydrocarbon|Phenols|Water Pollutants, Chemical|Endocrine System|Sex Differentiation|Xenobiotics|Estradiol|Nervous System|Estrogens
DMRT1	32447491	Virchows Arch.	2020		10.1007/s00428-020-02843-3	0	0	Female|Male|Humans|Adult|Adolescent|Middle Aged|Aged|Testis|Comparative Genomic Hybridization|Sex Cord-Gonadal Stromal Tumors|Testicular Neoplasms|Chromosomes|Aneuploidy|Neoplasms, Germ Cell and Embryonal|Immunohistochemistry|Chromosomes, Human, Pair 21|Granulosa Cell Tumor|Ovarian Neoplasms|Spermatocytes|Problem Solving
DMRT1	32396908	Sex Dev	2020		10.1159/000507838	0	0	Animals|Male|Female|Forkhead Box Protein L2|Turtles|DMRT1 protein|Sex Determination Processes|Gonads|SOX9 protein, human|SOX9 Transcription Factor|Sex Differentiation|Ovary|Testis|Temperature|Embryo, Nonmammalian|Gene Expression Regulation, Developmental|Biological Phenomena|Amino Acid Sequence|Fluorescent Antibody Technique
DMRT1	32389707	Gene	2020		10.1016/j.gene.2020.144756	0	0	Animals|Humans|Female|Male|RNA, Messenger|Transcriptome|Turtles|RNA, Untranslated|RNA, Long Noncoding|Sex Characteristics|MicroRNAs|Gene Expression Profiling|Gene Regulatory Networks|Sex Differentiation|Gene Ontology|RNA, Circular|Asian Continental Ancestry Group|Gonads|Up-Regulation
DMRT1	32388872	J. Fish Biol.	2020		10.1111/jfb.14366	0	0	Animals|Female|Male|Ovary|11-ketotestosterone|isinglass|Receptors, Gonadotropin|Testosterone|Forkhead Box Protein L2|Gelatin|Receptors, FSH|Fishes|Sex Differentiation|Oocytes
DMRT1	32376450	Gene	2020		10.1016/j.gene.2020.144754	0	0	Animals|Male|Female|DNA Methylation|CpG Islands|Gonads|hydrogen sulfite|Sulfites|Epigenesis, Genetic|Genome|Whole Genome Sequencing|Gene Expression Profiling|Gene Expression|Perciformes|Color
DMRT1	32282145	Zool. Sci.	2020		10.2108/zs190054	0	0	Humans
???	32644758							
???	32644757							
???	32644756							
???	32644755							
???	32644754							
???	32644753							
???	32644752							
???	32644751							
???	32644750							
???	32644749							
